ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Weather_Condition
A00021,AU,3,2023-03-03 14:15:41,2025-03-18 19:22:03,20.133521050028307,60.09388108512505,-58.13220698488847,-81.94155146521578,16.382751496082143,Minute common today within southern.,Javier Port,Kristenmouth,Alaska,12168,North Macedonia,EST,ORD,2022-04-21 13:30:46,-20.139007846660302,45.138621840047776,56.95627406649163,Fog
A00022,CA,1,2021-10-10 00:47:28,2023-12-18 20:10:18,-64.89110508263246,-23.257323576089476,-84.86639552904332,119.54235483149426,15.991796164598354,Manage rather organization tonight.,Katherine Underpass,West Mark,New Hampshire,21949,Palau,EST,LAX,2020-10-11 03:49:06,-3.7455283298603135,-6.393938790769525,65.65106489473632,Cloudy
A00023,UK,2,2021-04-13 22:41:37,2020-02-10 07:53:38,-37.41396326366073,163.12324118188963,73.67474635308889,-149.85931208079242,16.32471638316258,There car major. Hard amount trip.,Kenneth Well,Kellychester,Indiana,37497,Brunei Darussalam,PST,DFW,2024-09-02 12:20:21,55.50238699019452,-7.063517961082297,11.552401230774445,Rain
A00024,US,1,2023-12-31 06:02:42,2024-03-21 12:47:37,-24.0548682071355,78.92827220729947,-88.51983634999952,98.32992223869991,33.648208655590786,Anyone college be arrive past else response.,Ramirez Brook,Port Kimberly,Indiana,24916,Guinea-Bissau,PST,ATL,2021-04-17 10:02:36,27.655179731505406,17.807951019093125,47.601803788410734,Clear
A00025,UK,1,2024-03-24 12:10:57,2021-09-29 20:00:20,-7.907402840933528,154.85947303051802,42.494785980675374,-144.02271363529695,26.54039640452081,Best amount story free born.,Darrell Knoll,South Debbie,New Mexico,67625,Faroe Islands,CST,DFW,2023-08-26 02:52:00,7.790975774099671,26.756856230618965,35.70186440885412,Snow
A00026,AU,1,2023-08-23 17:18:15,2020-03-18 22:08:19,51.33167305074244,9.931670377979628,-62.61338035448702,137.22812528195124,19.271208904332216,Economy speak face statement.,Wood Ridge,Port Roger,Kentucky,70770,Dominica,EST,JFK,2024-12-17 16:11:02,24.42240128623728,-2.444126187486347,97.33686162401219,Clear
A00027,UK,3,2023-07-31 10:32:18,2023-02-21 07:06:09,-54.058719211495244,-86.79446107446975,74.20133195992801,-70.48637347139866,7.45448843643583,Between lead crime such and something race.,Taylor Loop,Jamesfurt,Oklahoma,21368,Martinique,EST,JFK,2022-07-07 18:59:54,27.875954015182465,-28.599909828827585,4.962393417946743,Snow
A00028,AU,2,2021-07-29 23:56:59,2025-02-02 13:50:55,2.562198914450093,-160.9823929087001,70.70326912617944,55.58161133900691,1.1069581471072953,Make add information just.,Carly Ways,Carpenterburgh,Vermont,56568,Christmas Island,PST,ATL,2024-12-07 00:50:51,88.37179260680755,27.330864272562167,29.829420305992304,Cloudy
A00029,UK,2,2021-05-26 15:27:17,2021-07-13 06:25:06,16.63462239516764,81.39054653418617,27.702206346466326,-4.499179696699258,10.94173387938463,Ready certain pretty material their six.,Peters Common,Natashaside,New York,92526,Greenland,MST,ATL,2020-02-07 20:40:15,-16.550423118356107,-17.964872512637243,94.1862194091722,Rain
A00030,CA,3,2024-03-01 10:23:20,2020-01-30 09:17:12,-81.63892571040041,-136.33092071800772,31.00214696410893,-48.13086770555796,5.373570198434063,Less inside cost arrive first leader.,Christie Bridge,New Daniel,Tennessee,91866,Bosnia and Herzegovina,EST,LAX,2024-08-24 14:38:34,6.364997084989952,-32.48892307061424,98.34961831843295,Rain
A00031,US,1,2020-07-23 08:39:53,2021-05-04 20:52:21,19.358073342258905,-71.00095382209182,-89.03895444545606,52.35905994605872,39.27225154261197,Kind simply pick set director.,Brian Keys,North Michaelport,Virginia,44128,Lebanon,EST,LAX,2024-09-08 04:00:09,39.883426155752815,13.164018992501326,82.49016077271335,Cloudy
A00032,US,1,2022-05-06 03:08:16,2022-02-10 20:06:09,-59.30565773628753,11.68952683820305,87.27688190044836,161.10827299844567,5.624897890694269,Event him continue into support line.,Martin Highway,North Angela,Texas,92516,Dominica,EST,DFW,2021-09-16 14:34:46,60.77730046197692,-40.95463330096496,7.599824401640931,Cloudy
A00033,AU,3,2025-04-13 04:11:09,2023-04-14 16:30:57,-78.29071326264969,23.189971600709157,68.0098686436466,-165.14289094513612,36.21141186534181,Report end financial.,Daniel Unions,Lake Rachelborough,Utah,76561,Gibraltar,EST,LAX,2020-04-03 03:28:43,51.98284756470167,47.135267508605494,56.135502834354035,Cloudy
A00034,AU,1,2023-09-09 16:06:11,2024-10-10 19:51:39,80.79939670559997,36.20995091536898,71.11912063141656,150.78702811791754,19.28293448880413,Explain Mrs everything week.,Timothy Overpass,Port Christina,Vermont,66305,Moldova,PST,ATL,2025-02-19 03:58:08,92.41355590586129,13.239726441213698,40.012299267046714,Cloudy
A00035,UK,1,2024-06-29 19:58:59,2022-06-01 22:42:54,83.81376595342067,-120.14808107410778,28.66401666915695,39.26939580756488,3.6689194871887985,Night window cover lead teach want.,Jamie Coves,Jeffreyshire,Virginia,13789,Palestinian Territory,MST,JFK,2024-11-24 22:17:59,73.42916022653152,48.58955209217558,80.64525676954017,Snow
A00036,US,3,2022-02-08 00:08:16,2022-01-03 02:18:13,55.51152266096301,-43.29453426420645,-27.938352842183427,110.63314827685883,40.63650247157929,More season early old care crime.,Michael Glen,New Jessehaven,Rhode Island,19143,Moldova,CST,ORD,2022-03-31 09:44:21,42.419989456675935,-16.110657652136396,5.502423557133329,Snow
A00037,AU,2,2021-03-10 20:07:03,2023-10-11 18:32:33,-35.16952154879328,42.189921762108014,70.85675683628654,-41.80501676366006,28.981528511830668,With outside notice last.,Bryan Path,Port Todd,Michigan,87127,Algeria,PST,ATL,2020-07-22 23:47:35,-2.0912500824440237,47.12051611903979,19.712875164470212,Clear
A00038,US,2,2022-11-12 23:06:12,2020-08-17 15:26:18,-72.4190194788509,169.13479126816253,-37.52695293278538,-10.136529058459047,11.788075643178653,Sometimes product serve hundred sure.,Sanders Corner,South Renee,Pennsylvania,07439,Belarus,PST,ATL,2024-07-26 14:12:11,28.613650082291173,-35.44377522713764,48.91950662226294,Cloudy
A00039,US,3,2021-09-07 09:07:45,2023-07-08 02:36:51,33.161944772188235,81.94720957188792,11.288077801596515,132.78627064841902,44.7340587166334,Hit state over old. Win sure coach nothing house.,William Dale,Hansenshire,New Mexico,54221,Estonia,MST,LAX,2020-11-18 03:04:42,60.13969174528205,-45.930522765297155,15.764766294782696,Clear
A00040,CA,1,2021-10-25 19:59:31,2025-03-04 18:22:27,-10.772551126871761,152.13735255382483,-72.04842497810117,-30.6547308684637,2.2629156935275727,Window career think total would.,Preston Island,Jamiemouth,Wisconsin,18498,Nigeria,CST,JFK,2020-01-24 16:00:56,78.93508272869104,-46.701593954539746,69.27151426942983,Rain
A00041,US,1,2024-12-03 03:41:45,2022-08-02 16:44:44,-68.03311772793981,94.39634099310376,75.95201342389504,12.477444029670608,10.090980409888145,Catch admit expert ever apply rich heavy save.,Williams Green,East Dustinville,Colorado,60991,Nicaragua,CST,JFK,2025-03-12 13:26:15,94.76570917491036,-3.512962940077294,82.07672211397983,Cloudy
A00042,UK,2,2023-12-08 14:33:26,2020-07-11 23:19:53,-0.8681561799713648,33.01810880126416,-64.6613176011816,-172.72982768964016,37.60234639029305,Executive someone power begin son third many.,Lawrence Land,Logantown,Texas,82487,Ecuador,EST,LAX,2022-02-01 21:15:11,48.70885959792929,-41.69958025214052,70.45198936276435,Rain
A00043,UK,1,2023-11-23 16:22:10,2021-01-09 17:39:32,-83.81006619926069,-110.87158711091597,-49.51857496852669,-122.90471789830477,35.46889651549446,Ask front about put run. Hit movie drop song.,Patricia Loop,Dennischester,Wyoming,39017,Australia,PST,JFK,2022-08-22 05:44:28,38.49951774957621,1.2167884167601741,44.02837136399823,Rain
A00044,CA,3,2024-07-29 07:41:54,2021-06-20 15:57:47,73.67767237418076,60.006834681304696,10.4641484630787,51.00714287092791,14.463584686223902,Any their beautiful future.,Wilson Circle,Port Dean,Nevada,76467,Dominica,EST,DFW,2021-06-12 15:10:09,-27.70004999425072,-17.24994964910995,87.83876662526463,Clear
A00045,CA,3,2020-04-18 13:43:38,2021-02-04 11:08:37,-43.41960331199695,44.416643745566546,47.53674003833669,78.11168438299575,3.101243767639156,First word claim member.,Thomas Landing,Hoodport,New Jersey,85145,Congo,PST,ATL,2025-04-30 12:57:27,-20.627121010476607,-16.437100752588442,13.76861317199417,Snow
A00046,US,1,2024-02-04 19:39:44,2024-08-15 21:20:44,29.254011183716756,36.88890136461592,21.483235068533816,29.73633724241978,42.90390361124719,Member should too charge opportunity.,Jones Freeway,New Kelseyview,Minnesota,72867,Kazakhstan,CST,LAX,2025-02-11 17:21:40,-9.706350307137967,13.56089965451698,26.03385838990089,Clear
A00047,AU,2,2023-03-19 22:38:27,2024-09-27 10:27:59,-33.89200630390603,-3.677087524233343,-48.21589569597189,-128.40838694078016,15.684881903495128,Pretty opportunity price life floor girl third.,Baker Mills,East Timothyton,Arkansas,33578,Ukraine,EST,LAX,2023-04-07 08:20:59,-22.881208945348348,-33.69019938483798,48.95396852523033,Snow
A00048,US,1,2020-07-25 14:54:33,2021-10-15 07:50:01,3.612243812005943,10.31637743613922,-89.83025234505175,-19.65404571197945,9.785670746413262,Part case employee half.,Young Stream,East Rachael,Indiana,97278,Sweden,CST,JFK,2020-08-11 16:06:16,22.112221044640442,26.655337033973098,6.1338598879251975,Fog
A00049,AU,3,2020-08-11 00:04:33,2021-03-04 10:07:36,8.407850281790331,-59.60069023748254,46.28710445533906,-52.165884109251664,25.803091118048854,Six usually heavy dog.,Gordon Pine,West Robert,Delaware,83971,Vietnam,PST,ORD,2020-09-06 21:34:00,13.794210868053383,8.203091977863473,9.568578156654727,Rain
A00050,CA,1,2024-02-28 03:46:09,2025-05-19 06:28:27,-56.72619800540513,6.95256935122913,87.33731866399688,-1.5619161473682084,45.51135996412236,Whether resource past argue tell.,Martin Crossroad,Mckenzieberg,Montana,87214,Peru,MST,JFK,2021-05-02 01:00:06,52.85604052289108,41.49446288475109,39.74433717223721,Fog
A00051,CA,2,2023-12-10 06:08:21,2024-11-18 17:16:13,84.52523299762055,-108.87987395574783,55.78436165509626,133.31845243947396,2.1773288921687675,Team entire agent gas despite.,Sanchez Neck,Timothyport,Pennsylvania,78566,Togo,EST,JFK,2023-04-04 12:51:08,39.636464031342356,-13.51593462324766,94.3886296734554,Snow
A00052,AU,3,2025-06-03 08:10:52,2024-08-31 16:56:57,49.52390820500062,109.86278304973564,-7.1628087318092355,99.31011791711467,38.290204401544386,Research education light what business.,Vincent Port,Brookston,Oklahoma,16143,Cayman Islands,MST,ATL,2021-08-14 10:20:32,47.47619872042176,48.27149920671255,90.84136932770002,Clear
A00053,AU,1,2021-08-15 23:25:25,2023-09-10 16:11:34,79.10980948155404,-113.12029630846519,72.67810705183919,-149.76377949990277,28.623661396935447,Face you discover. Because under along huge.,Deborah Stravenue,East Craigbury,New Jersey,65081,Taiwan,PST,ORD,2023-12-31 12:13:44,31.357036381895036,7.582764671402323,46.59748582784111,Clear
A00054,UK,3,2023-08-28 00:40:48,2023-01-25 20:17:25,71.0689230769768,-149.4121356397921,-16.22741883869699,140.51131119884315,21.272455827590846,Stage police movie language form by.,Robert Manors,Port Heatherland,Minnesota,99680,French Southern Territories,EST,DFW,2022-11-08 04:07:29,6.10582931205343,47.340195618753384,14.215854451073007,Snow
A00055,UK,2,2023-03-20 03:49:40,2020-08-27 09:48:45,17.62199618599533,-22.951430511423354,4.488135163824154,-10.163825586063496,37.204022205253004,Scene agreement national beautiful true series.,Ortiz Canyon,Timothyshire,Minnesota,92535,Benin,CST,DFW,2022-09-29 12:24:44,93.86729094304202,-47.29393459528847,17.81076559584356,Snow
A00056,AU,1,2024-07-30 12:35:24,2021-02-13 16:32:21,75.93736230416104,56.990678222182254,-4.116641868777009,87.79037215895943,48.29122122208162,Explain visit agree office eat.,Sullivan Points,Hallborough,Hawaii,86652,Congo,CST,LAX,2023-11-06 22:14:00,-18.766809231181934,22.7976322412388,37.75460546091273,Snow
A00057,AU,1,2025-03-06 19:13:23,2025-04-27 11:56:30,-74.0713496306545,-22.42194302392511,-9.427702920205505,-129.58587674483323,11.460310558134552,Focus local common know.,David Via,Velasquezfurt,Kentucky,93334,Puerto Rico,MST,ORD,2020-06-30 03:11:11,92.05582993048994,31.662152429273632,21.007419508678137,Snow
A00058,AU,3,2020-09-20 03:38:06,2023-06-13 22:56:04,-54.72308476455387,-80.3685124975289,49.534338472903045,61.45902925453731,7.182368253605981,Assume quite play type drive.,Robin Spur,Vanessaville,New York,49726,Trinidad and Tobago,CST,DFW,2022-11-28 19:58:09,10.460946092415504,-44.68267133235124,8.297559439037784,Clear
A00059,CA,1,2022-08-28 10:28:10,2020-12-28 14:17:41,-81.85908799610314,20.94162620055866,4.8184033085085645,-94.92263366059515,45.64408726113485,Marriage case agreement avoid finish after.,Smith Underpass,Lake Ernestfurt,Montana,23290,Argentina,EST,LAX,2023-08-18 13:04:17,36.64598789774867,7.896966401624574,67.37774835199971,Snow
A00060,AU,2,2024-04-03 21:09:28,2024-03-10 22:34:19,-31.440540462612418,-55.07915925160802,-32.99091803546111,-22.18287702926466,33.44765387286518,Size area class continue.,Diaz Parkways,Travisberg,Kansas,37281,Uzbekistan,CST,ATL,2024-01-04 23:14:45,-15.850498032419003,30.19422935894484,58.144863779269485,Fog
A00061,US,2,2023-11-21 06:13:00,2021-06-13 18:40:30,-20.038087855893238,155.83236844558792,-43.5315298214739,-173.9293667704424,21.899301078098297,Her center own method especially.,Moreno Course,Elizabethport,Mississippi,62220,Suriname,EST,ORD,2021-03-03 05:31:55,-20.778961111768794,6.103872522307277,29.129675797808506,Clear
A00062,UK,1,2020-04-27 00:24:13,2021-11-15 16:28:43,-41.15717428069873,152.15225025728597,-83.20548294586199,-125.42017034502862,28.662978513214156,Third quite million director hand before site.,Betty Forest,Griffintown,Maryland,05039,Hong Kong,CST,JFK,2020-12-29 11:58:47,25.840908333418376,-43.61864095945334,77.89483825523041,Snow
A00063,UK,1,2024-10-30 12:06:50,2021-11-26 04:45:20,59.17275164734727,0.8538551899543734,14.975129138948276,-146.85102247549688,37.2806952588122,Loss seven fear class.,Adam Route,South Angelamouth,Pennsylvania,53967,Hungary,CST,ATL,2023-04-15 01:46:19,66.42065892935815,19.344724089831146,77.59488877058345,Rain
A00064,US,2,2020-02-13 16:19:30,2021-06-09 11:06:08,-25.784401195153933,-61.96176215342693,-48.606945227813846,-93.69209774222696,38.65159493528586,Per wrong travel which administration again week.,Cunningham Turnpike,Teresaland,South Carolina,00931,Chad,PST,DFW,2020-12-12 07:20:24,5.017421081311362,-43.940308532669135,49.10019702127618,Clear
A00065,AU,2,2023-12-05 14:49:06,2021-01-20 20:21:54,-39.43178825627146,85.36766902439007,-63.33589403705105,-143.993487591244,45.99470904094823,Use person property fly at.,Doris Mall,South Anthonyview,South Dakota,66083,Russian Federation,MST,JFK,2024-12-09 05:43:42,43.10522556159161,31.74688950164385,9.653255551189389,Snow
A00066,AU,1,2022-06-29 19:59:01,2022-05-17 16:49:40,7.685294968484726,-166.783340346096,27.689393488981977,69.08760958304228,21.342139444781132,Road campaign Democrat mission there positive.,Madison Union,Wilsonburgh,Oregon,07665,Bahrain,CST,JFK,2021-03-07 13:18:13,6.224544267966387,-45.69658166933056,91.84694001013575,Snow
A00067,US,1,2024-11-08 01:56:57,2025-04-17 05:55:14,-64.63363950454273,-9.083157824285564,32.61766640787879,-169.54563520468102,14.67054550096975,Until knowledge gas second as senior.,Tyler Plains,North Ryan,Vermont,56219,Angola,CST,JFK,2024-04-01 07:55:14,20.519697916095303,-36.26026189896292,66.86605235409712,Fog
A00068,AU,2,2022-05-08 07:22:50,2024-12-11 08:44:33,54.395456535727135,-58.92357806267992,45.387880606379866,42.38658022499928,31.983213339492096,Bill garden maybe buy common.,Tammy Rest,South James,North Carolina,36323,Cambodia,EST,JFK,2022-03-14 21:16:56,87.83802140159722,-22.48924094767315,24.705081915195095,Fog
A00069,AU,3,2020-09-14 11:58:58,2020-09-12 14:35:56,-76.58088413764125,151.39291863691966,0.6438413409464658,-129.34518090279326,20.78639496397652,Himself build so base doctor argue.,Susan Alley,New Davidchester,Idaho,40259,Somalia,PST,LAX,2020-11-23 23:49:05,81.25915131433955,13.336479226080002,61.045454703422664,Cloudy
A00070,CA,2,2021-06-07 18:39:27,2024-04-28 09:09:20,87.63964858809311,-175.67891018183428,70.92982893669958,160.2581245840429,29.729922697448895,Structure least question can.,Jeremy Inlet,West Danielle,South Carolina,31023,United States Virgin Islands,MST,DFW,2025-04-12 09:40:53,37.082280644291885,47.6359099631306,40.502149582763025,Clear
A00071,UK,1,2021-11-04 12:10:18,2022-12-19 22:51:17,49.004058473398345,19.013355258605657,78.541695611681,155.91386631954754,20.99928992279751,How should natural stand.,Brown Island,Stevenburgh,South Carolina,05078,Finland,EST,ATL,2022-04-12 23:08:41,0.9537315713702377,-38.217714738006556,63.534963973595794,Snow
A00072,AU,1,2023-07-04 23:45:53,2025-03-14 10:00:04,-54.23117732384897,86.63888918398538,55.326769162648105,-98.81888309245346,7.649789333908724,Knowledge single decide wonder might.,Romero Port,Burkeside,Massachusetts,93560,Bouvet Island (Bouvetoya),PST,LAX,2024-01-04 15:05:14,-4.886091344707033,-35.72923307860816,47.38708957310208,Snow
A00073,CA,3,2020-10-28 08:42:26,2020-04-25 14:03:15,-89.00601891775156,-5.393524491345147,24.406826761473695,41.19166736029061,23.47133758294792,Decade since number town similar citizen nor.,Edwards Island,South Jonathan,South Dakota,51620,Comoros,PST,ATL,2021-04-05 00:23:07,94.03135589464286,-13.112960329901966,48.547215023973344,Fog
A00074,UK,1,2023-05-21 14:21:25,2021-05-05 03:25:55,56.783057121870144,-149.2549091414202,-35.33022835358604,-169.91808498991497,34.54589109705164,Decide six hear daughter high far service.,Brooks Stravenue,Lopezmouth,Texas,91105,Lithuania,PST,DFW,2021-11-21 08:20:35,-3.646842453610624,33.62191377553202,73.58820919073594,Clear
A00075,CA,3,2023-12-12 19:06:17,2024-06-10 09:05:28,37.234321892571074,170.08610041004482,86.9300858916398,155.4438754984227,39.964190383382494,Contain research entire.,Katrina Mill,Chambersport,Oklahoma,06685,Tunisia,EST,ATL,2025-06-12 00:06:43,75.0618804186301,-3.2769047249185803,61.37257460639758,Fog
A00076,US,2,2022-05-08 03:55:20,2025-01-30 22:28:52,41.22129024737771,6.483755295395241,-40.6554899054511,8.275430949015487,24.666313839827342,Medical guess environment skin sing.,Carrillo Place,Rodriguezmouth,Wisconsin,70628,Bouvet Island (Bouvetoya),PST,ATL,2023-11-16 03:42:53,17.966127239619844,-17.838939974417833,7.995269124422566,Snow
A00077,UK,2,2024-07-05 06:38:40,2025-05-25 03:31:22,48.82866240347025,41.10704795484409,-53.52175404172241,-164.43966548959958,8.261894510520046,Study go evidence suffer.,William Gateway,Codyton,Wisconsin,91710,Taiwan,CST,LAX,2022-03-26 16:03:00,98.13578018257098,6.120383220886126,6.537357044630365,Snow
A00078,AU,2,2020-08-26 05:10:55,2024-09-20 00:33:15,-76.67196268786374,-94.82047822529736,-10.412259518415098,-56.700002517070544,20.73438548247158,Mr happy west available event own gun.,Hines Glen,Port Sarahfort,Tennessee,09297,Lebanon,PST,JFK,2021-06-21 02:05:54,17.860246247162422,-23.947680255425,30.500923749672527,Rain
A00079,US,1,2024-06-02 16:49:52,2023-07-24 12:29:46,-25.47616886203093,-5.940689361550625,-79.76869727177008,-152.3341937299557,39.31469644208491,But culture claim argue. Party these employee go.,Stevens Isle,Wellstown,Maryland,91521,Austria,MST,JFK,2021-12-21 18:42:00,15.697161238394393,-9.884009275247905,43.02459965387463,Clear
A00080,US,2,2023-07-23 22:33:10,2021-01-11 10:00:15,-69.14356928547664,-25.506182895004144,86.12900364092235,-38.54000182559045,20.642963530853642,Single none serve be Mr news discussion.,Johnson Village,Port Jamesland,New Jersey,77572,Guinea,MST,JFK,2023-04-14 02:38:31,52.87027175409101,-16.739485076795816,27.522255917928607,Snow
A00081,UK,3,2021-03-18 23:45:56,2024-03-21 17:26:41,65.35861665760683,-153.03749687928587,15.918040154956472,61.17348317807631,34.82653968021111,Fish wish all I who explain personal.,Terry Harbors,Port Lisa,Maine,84344,American Samoa,MST,DFW,2023-10-02 09:16:52,94.9971848614865,30.41410224146459,65.1459858069918,Snow
